SLUG GALERIE,ORDRE,SRC,ALT,LÉGENDE FR,LÉGENDE EN,TAG FR,TAG EN
## Identifiant de la galerie concernée (doit correspondre à la colonne SLUG de galleries.csv),Ordre d'affichage dans la galerie (1=première photo),Chemin de la photo depuis la racine du site (ex: uploads/photo.jpg),Texte alternatif pour l'accessibilité et le SEO,Légende affichée sous la photo en français (visible en mode lightbox),Légende affichée sous la photo en anglais,Badge/tag affiché sur la miniature en français (ex: Gala · 2026),Badge/tag affiché sur la miniature en anglais
gala,7,uploads/gala-2026-14.jpg,Gala Dauphine 2026 — photo 7,,,,
gala,8,uploads/gala-2026-20.jpg,Gala Dauphine 2026 — photo 8,,,,
gala,9,uploads/gala-2026-22.jpg,Gala Dauphine 2026 — photo 9,,,,
gala,10,uploads/gala-2026-23.jpg,Gala Dauphine 2026 — photo 10,,,,
gala,11,uploads/gala-2026-30.jpg,Gala Dauphine 2026 — photo 11,,,,
gala,12,uploads/gala-2026-31.jpg,Gala Dauphine 2026 — photo 12,,,,
gala,13,uploads/gala-2026-42.jpg,Gala Dauphine 2026 — photo 13,,,,
gala,14,uploads/gala-2026-45.jpg,Gala Dauphine 2026 — photo 14,,,,
gala,15,uploads/gala-2026-47.jpg,Gala Dauphine 2026 — photo 15,,,,
gala,16,uploads/gala-2026-52.jpg,Gala Dauphine 2026 — photo 16,,,,
gala,17,uploads/gala-2026-57.jpg,Gala Dauphine 2026 — photo 17,,,,
gala,18,uploads/gala-2026-62.jpg,Gala Dauphine 2026 — photo 18,,,,
gala,19,uploads/gala-2026-67.jpg,Gala Dauphine 2026 — photo 19,,,,
gala,20,uploads/gala-2026-82.jpg,Gala Dauphine 2026 — photo 20,,,,
gala,21,uploads/gala-2026-83.jpg,Gala Dauphine 2026 — photo 21,,,,
gala,22,uploads/gala-2026-84.jpg,Gala Dauphine 2026 — photo 22,,,,
gala,23,uploads/gala-2026-86.jpg,Gala Dauphine 2026 — photo 23,,,,
gala,24,uploads/gala-2026-87.jpg,Gala Dauphine 2026 — photo 24,,,,
gala,25,uploads/gala-2026-106.jpg,Gala Dauphine 2026 — photo 25,,,,
gala,26,uploads/gala-2026-107.jpg,Gala Dauphine 2026 — photo 26,,,,
gala,27,uploads/gala-2026-130.jpg,Gala Dauphine 2026 — photo 27,,,,
gala,28,uploads/gala-2026-149.jpg,Gala Dauphine 2026 — photo 28,,,,
gala,29,uploads/gala-2026-156.jpg,Gala Dauphine 2026 — photo 29,,,,
gala,30,uploads/gala-2026-180.jpg,Gala Dauphine 2026 — photo 30,,,,
gala,31,uploads/gala-2026-189.jpg,Gala Dauphine 2026 — photo 31,,,,
gala,32,uploads/gala-2026-194.jpg,Gala Dauphine 2026 — photo 32,,,,
gala,33,uploads/gala-2026-196.jpg,Gala Dauphine 2026 — photo 33,,,,
gala,34,uploads/gala-2026-208.jpg,Gala Dauphine 2026 — photo 34,,,,
gala,35,uploads/gala-2026-212.jpg,Gala Dauphine 2026 — photo 35,,,,
gala,36,uploads/gala-2026-213.jpg,Gala Dauphine 2026 — photo 36,,,,
gala,37,uploads/gala-2026-215.jpg,Gala Dauphine 2026 — photo 37,,,,
gala,38,uploads/gala-2026-217.jpg,Gala Dauphine 2026 — photo 38,,,,
gala,39,uploads/gala-2026-218.jpg,Gala Dauphine 2026 — photo 39,,,,
gala,40,uploads/gala-2026-221.jpg,Gala Dauphine 2026 — photo 40,,,,
gala,41,uploads/gala-2026-231.jpg,Gala Dauphine 2026 — photo 41,,,,
gala,42,uploads/gala-2026-236.jpg,Gala Dauphine 2026 — photo 42,,,,
gala,43,uploads/gala-2026-248.jpg,Gala Dauphine 2026 — photo 43,,,,
gala,44,uploads/gala-2026-255.jpg,Gala Dauphine 2026 — photo 44,,,,
gala,45,uploads/gala-2026-257.jpg,Gala Dauphine 2026 — photo 45,,,,
gala,46,uploads/gala-2026-259.jpg,Gala Dauphine 2026 — photo 46,,,,
gala,47,uploads/gala-2026-291.jpg,Gala Dauphine 2026 — photo 47,,,,
gala,48,uploads/gala-2026-304.jpg,Gala Dauphine 2026 — photo 48,,,,
gala,49,uploads/gala-2026-313.jpg,Gala Dauphine 2026 — photo 49,,,,
gala,50,uploads/gala-2026-319.jpg,Gala Dauphine 2026 — photo 50,,,,
gala,51,uploads/gala-2026-332.jpg,Gala Dauphine 2026 — photo 51,,,,
gala,52,uploads/gala-2026-338.jpg,Gala Dauphine 2026 — photo 52,,,,
gala,53,uploads/gala-2026-343.jpg,Gala Dauphine 2026 — photo 53,,,,
gala,54,uploads/gala-2026-345.jpg,Gala Dauphine 2026 — photo 54,,,,
howwedau,1,uploads/cap-145216.png,Gazo How We Dau 2026,Gazo sur scène — énergie brute,Gazo on stage — raw energy,Showcase,
howwedau,2,uploads/DSC05863-scaled.jpg,How We Dau 2026 ambiance,La foule en fusion,The crowd on fire,Ambiance,Atmosphere
howwedau,3,uploads/DSC05851-scaled.jpg,How We Dau 2026,Lumières et basses — ambiance club,Lights and bass — club atmosphere,Club,
howwedau,4,uploads/DSC05819-scaled.jpg,How We Dau 2026 public,La communauté Dauphine réunie,The Dauphine community together,Public,Crowd
nuitdauphine,1,uploads/DSC05851-scaled.jpg,Nuit Dauphine 2026 VANCO,VANCO on stage,,Nuit Dauphine · 2026,
nuitdauphine,2,uploads/DSC04545-scaled.jpg,Nuit Dauphine 2026,La salle en feu,,Nuit Dauphine · 2026,
nuitdauphine,3,uploads/DSC04479-scaled.jpg,Nuit Dauphine 2026,Lumières et fumée,,Nuit Dauphine · 2026,
nuitdauphine,4,uploads/DSC04433-scaled.jpg,Nuit Dauphine 2026,Dans la fosse,,Nuit Dauphine · 2026,
nuitdauphine,5,uploads/DSC04400-scaled.jpg,Nuit Dauphine 2026,Set de minuit,,Nuit Dauphine · 2026,
nuitdauphine,6,uploads/DSC04346-scaled.jpg,Nuit Dauphine 2026,Jusqu'au bout de la nuit,,Nuit Dauphine · 2026,
prixmode,1,uploads/DSC04479-scaled.jpg,Prix Mode 2026,Ouverture du défilé,,Prix Mode · 2026,
prixmode,2,uploads/DSC04545-scaled.jpg,Prix Mode 2026,Les créateurs sur scène,,Prix Mode · 2026,
prixmode,3,uploads/DSC04433-scaled.jpg,Prix Mode 2026,Ambiance avant-show,,Prix Mode · 2026,
prixmode,4,uploads/DSC04400-scaled.jpg,Prix Mode 2026,Dans les coulisses,,Prix Mode · 2026,
prixmode,5,uploads/DSC04346-scaled.jpg,Prix Mode 2026,La remise des prix,,Prix Mode · 2026,
prixmode,6,uploads/DSC04314-scaled.jpg,Prix Mode 2026,Soirée de clôture,,Prix Mode · 2026,
wei,1,uploads/DSC04545-scaled.jpg,WEI 2026,Arrivée sur le site,,WEI · 2026,
wei,2,uploads/DSC04479-scaled.jpg,WEI 2026,Les activités du jour,,WEI · 2026,
wei,3,uploads/DSC04433-scaled.jpg,WEI 2026,Soirée du vendredi,,WEI · 2026,
wei,4,uploads/DSC04400-scaled.jpg,WEI 2026,Ambiance 3h du matin,,WEI · 2026,
wei,5,uploads/DSC04346-scaled.jpg,WEI 2026,Photo de promo,,WEI · 2026,
wei,6,uploads/DSC04314-scaled.jpg,WEI 2026,Le retour à Paris,,WEI · 2026,
